KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2026-09-07,24.197
EXR.D.DKK.EUR.SP00.A,D,DKK,EUR,SP00,A,2026-09-07,7.4746
EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2026-09-07,0.85894
EXR.D.HUF.EUR.SP00.A,D,HUF,EUR,SP00,A,2026-09-07,363.2
EXR.D.PLN.EUR.SP00.A,D,PLN,EUR,SP00,A,2026-09-07,4.3103
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2026-09-07,5.2519
EXR.D.SEK.EUR.SP00.A,D,SEK,EUR,SP00,A,2026-09-07,11.162
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-09-07,1.1622
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2026-09-08,24.186
EXR.D.DKK.EUR.SP00.A,D,DKK,EUR,SP00,A,2026-09-08,7.4748
EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2026-09-08,0.8574
EXR.D.HUF.EUR.SP00.A,D,HUF,EUR,SP00,A,2026-09-08,363.95
EXR.D.PLN.EUR.SP00.A,D,PLN,EUR,SP00,A,2026-09-08,4.3178
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2026-09-08,5.25
EXR.D.SEK.EUR.SP00.A,D,SEK,EUR,SP00,A,2026-09-08,11.152
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-09-08,1.1614
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2026-09-09,24.247
EXR.D.DKK.EUR.SP00.A,D,DKK,EUR,SP00,A,2026-09-09,7.4748
EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2026-09-09,0.85898
EXR.D.HUF.EUR.SP00.A,D,HUF,EUR,SP00,A,2026-09-09,363.95
EXR.D.PLN.EUR.SP00.A,D,PLN,EUR,SP00,A,2026-09-09,4.3153
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2026-09-09,5.2546
EXR.D.SEK.EUR.SP00.A,D,SEK,EUR,SP00,A,2026-09-09,11.1495
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-09-09,1.1652
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2026-09-10,24.251
EXR.D.DKK.EUR.SP00.A,D,DKK,EUR,SP00,A,2026-09-10,7.4751
EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2026-09-10,0.85915
EXR.D.HUF.EUR.SP00.A,D,HUF,EUR,SP00,A,2026-09-10,364.75
EXR.D.PLN.EUR.SP00.A,D,PLN,EUR,SP00,A,2026-09-10,4.322
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2026-09-10,5.2525
EXR.D.SEK.EUR.SP00.A,D,SEK,EUR,SP00,A,2026-09-10,11.1995
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-09-10,1.1616
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2026-09-11,24.264
EXR.D.DKK.EUR.SP00.A,D,DKK,EUR,SP00,A,2026-09-11,7.4748
EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2026-09-11,0.85815
EXR.D.HUF.EUR.SP00.A,D,HUF,EUR,SP00,A,2026-09-11,364.45
EXR.D.PLN.EUR.SP00.A,D,PLN,EUR,SP00,A,2026-09-11,4.325
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2026-09-11,5.2547
EXR.D.SEK.EUR.SP00.A,D,SEK,EUR,SP00,A,2026-09-11,11.2373
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-09-11,1.1592
